Sat 08 Aug 2015,KO
Man Utd 1 - 0 Spurs,FT
Bournemouth 0 - 1 Aston Villa,FT
Everton 2 - 2 Watford,FT
Leicester 4 - 2 Sunderland,FT
Norwich 1 - 3 Crystal Palace,FT
Chelsea 2 - 2 Swansea,FT
Sun 09 Aug 2015,KO
Arsenal 0 - 2 West Ham,FT
Newcastle 2 - 2 Southampton,FT
Stoke 0 - 1 Liverpool,FT
Mon 10 Aug 2015,KO
West Brom 0 - 3 Man City,FT
Fri 14 Aug 2015,KO
Aston Villa 0 - 1 Man Utd,FT
Sat 15 Aug 2015,KO
Southampton 0 - 3 Everton,FT
Sunderland 1 - 3 Norwich,FT
Swansea 2 - 0 Newcastle,FT
Spurs 2 - 2 Stoke,FT
Watford 0 - 0 West Brom,FT
West Ham 1 - 2 Leicester,FT
Sun 16 Aug 2015,KO
Crystal Palace 1 - 2 Arsenal,FT
Man City 3 - 0 Chelsea,FT
Mon 17 Aug 2015,KO
Liverpool 1 - 0 Bournemouth,FT
Sat 22 Aug 2015,KO
Man Utd 0 - 0 Newcastle,FT
Crystal Palace 2 - 1 Aston Villa,FT
Leicester 1 - 1 Spurs,FT
Norwich 1 - 1 Stoke,FT
Sunderland 1 - 1 Swansea,FT
West Ham 3 - 4 Bournemouth,FT
Sun 23 Aug 2015,KO
West Brom 2 - 3 Chelsea,FT
Everton 0 - 2 Man City,FT
Watford 0 - 0 Southampton,FT
Mon 24 Aug 2015,KO
Arsenal 0 - 0 Liverpool,FT
Load More,
,
,
Share this,
Back to top,
MENU,
,
,
,
Desktop site,
Handbook 2015/16,
Terms and Conditions,
Privacy Policy,
,
Facebook,
Twitter,
Instagram,
,
© 2016 Premier League,
