country,team,wsteam,pageno
england,arsenal,arsenal,13
england,bournemouth,bournemouth,183
england,burnley,burnley,184
england,chelsea,chelsea,15
england,crystalpalace,crystal palace,162
england,everton,everton,31
england,hull,hull,214
england,leicester,leicester,14
england,liverpool,liverpool,26
england,mancity,manchester city,167
england,manutd,manchester united,32
england,middlesbrough,middlesbrough,21
england,southampton,southampton,18
england,stoke,stoke,96
england,sunderland,sunderland,16
england,swansea,swansea,259
england,tottenham,tottenham,30
england,watford,watford,27
england,westbrom,west bromwich albion,175
england,westham,west ham,29
