wsname,myname,istotal
ht,ht,0
at,at,0
date,date,0
team,team,0
player,player,0
substatus,substatus,0
subtime,subtime,0
mins.played,minsplayed,0
red.card,redcard,0
pos,pos,0
goals,goal,1
att.ibox.goal,shotibgoal,1
att.ibox.target,shotibtarget,1
att.ibox.blocked,shotibblock,1
att.ibox.miss,shotibmiss,1
att.ibox.post,shotibpost,1
att.obox.goal,shotobgoal,1
att.obox.target,shotobtarget,1
att.obox.blocked,shotobblock,1
att.obox.miss,shotobmiss,1
att.obox.post,shotobpost,1
att.freekick.goal,fkgoal,1
att.freekick.total,fktotal,1
att.freekick.miss,fkmiss,1
att.freekick.target,fktarget,1
att.freekick.post,fkpost,1
penalty.missed,penmiss,1
penalty.save,pentarget,1
att.pen.goal,pengoal,1
goal.assist,assist,1
corner.taken,cornertaken,1
total.cross,cross,1
total.att.assist,keypass,1
